Epoch,Loss,Accuracy
1,3.0489234924316406,0.20703125
2,2.367002010345459,0.3720703125
3,2.0170836448669434,0.4658203125
4,1.8115403652191162,0.5
5,1.6534316539764404,0.52734375
6,1.518595576286316,0.5625
7,1.422270655632019,0.591796875
8,1.345085859298706,0.6025390625
9,1.2875927686691284,0.61328125
10,1.2391412258148193,0.62109375
11,1.2293391227722168,0.6220703125
12,1.1637643575668335,0.640625
13,1.1266639232635498,0.646484375
14,1.1072883605957031,0.6591796875
15,1.078864336013794,0.6533203125
16,1.0354276895523071,0.6630859375
17,1.0285165309906006,0.666015625
18,0.982775092124939,0.6865234375
19,0.9563109874725342,0.6923828125
20,0.9394470453262329,0.69921875
21,0.9246666431427002,0.6982421875
22,0.9082446098327637,0.7138671875
23,0.8966989517211914,0.7236328125
24,0.8659511208534241,0.7294921875
25,0.8697166442871094,0.7265625
26,0.8583455085754395,0.73046875
27,0.8376373648643494,0.7314453125
28,0.8165259957313538,0.732421875
29,0.8298616409301758,0.740234375
30,0.783542275428772,0.736328125
31,0.798166036605835,0.7421875
32,0.8024930357933044,0.74609375
33,0.7540808916091919,0.759765625
34,0.7544128894805908,0.7412109375
35,0.762148380279541,0.7705078125
36,0.7425841689109802,0.759765625
37,0.7179387211799622,0.767578125
38,0.7496824264526367,0.7587890625
39,0.7090602517127991,0.77734375
40,0.685908317565918,0.767578125
41,0.679063618183136,0.78125
42,0.6576260924339294,0.7900390625
43,0.6664849519729614,0.7822265625
44,0.6657824516296387,0.7734375
45,0.6645156145095825,0.7978515625
46,0.6359862089157104,0.7939453125
47,0.6246245503425598,0.7919921875
48,0.6382725238800049,0.79296875
49,0.6157695055007935,0.7958984375
50,0.6363029479980469,0.783203125
51,0.64021235704422,0.7919921875
52,0.6185362339019775,0.802734375
53,0.636360764503479,0.79296875
54,0.625218391418457,0.798828125
55,0.6330617070198059,0.7998046875
56,0.5869300365447998,0.806640625
57,0.5802728533744812,0.8115234375
58,0.6312471628189087,0.8037109375
59,0.5973182916641235,0.8046875
60,0.5979882478713989,0.8056640625
61,0.5809036493301392,0.818359375
62,0.5755000710487366,0.82421875
63,0.5566636323928833,0.828125
64,0.5895650386810303,0.8095703125
65,0.5786758661270142,0.81640625
66,0.5799910426139832,0.8115234375
67,0.5662173628807068,0.8232421875
68,0.5339256525039673,0.8173828125
69,0.5339613556861877,0.8212890625
70,0.5456719398498535,0.8251953125
71,0.5597134232521057,0.828125
72,0.5277494788169861,0.828125
73,0.5254170894622803,0.8408203125
74,0.5353597402572632,0.8310546875
75,0.5200750231742859,0.8369140625
76,0.5250194668769836,0.8369140625
77,0.4999297261238098,0.837890625
78,0.5357678532600403,0.822265625
79,0.5024241209030151,0.8291015625
80,0.5376318693161011,0.8369140625
