Epoch,Loss,Accuracy
1,2.335063934326172,0.3486328125
2,1.7796151638031006,0.505859375
3,1.4507592916488647,0.568359375
4,1.333033800125122,0.587890625
5,1.2271718978881836,0.61328125
6,1.146764874458313,0.640625
7,1.068224310874939,0.6572265625
8,1.020259141921997,0.67578125
9,0.9670775532722473,0.6884765625
10,0.9078375101089478,0.720703125
11,0.8708874583244324,0.71875
12,0.8495062589645386,0.732421875
13,0.7884868383407593,0.7587890625
14,0.784700334072113,0.75
15,0.7508226037025452,0.7490234375
16,0.7182580232620239,0.7783203125
17,0.6898518800735474,0.7763671875
18,0.6563376188278198,0.7783203125
19,0.6286582946777344,0.7998046875
20,0.595436692237854,0.8154296875
21,0.5821791887283325,0.8193359375
22,0.562086820602417,0.8291015625
23,0.5608378648757935,0.8115234375
24,0.5311710834503174,0.8349609375
25,0.5125209093093872,0.833984375
26,0.461012601852417,0.8515625
27,0.49856218695640564,0.8466796875
28,0.4752419590950012,0.8486328125
29,0.44689488410949707,0.859375
30,0.41998493671417236,0.8642578125
31,0.3880354166030884,0.876953125
32,0.36267566680908203,0.8837890625
33,0.37441855669021606,0.875
34,0.3574564456939697,0.8876953125
35,0.39385363459587097,0.87109375
36,0.3838224709033966,0.8759765625
37,0.35416072607040405,0.8798828125
38,0.31859999895095825,0.8916015625
39,0.3265463709831238,0.904296875
40,0.3152065873146057,0.90234375
41,0.2956452965736389,0.89453125
42,0.31080901622772217,0.896484375
43,0.297163188457489,0.908203125
44,0.2609446346759796,0.912109375
45,0.2686775326728821,0.904296875
46,0.2580319941043854,0.9189453125
47,0.280182808637619,0.9228515625
48,0.2636396288871765,0.9140625
49,0.2704930305480957,0.9091796875
50,0.2687281668186188,0.9111328125
51,0.27328628301620483,0.912109375
52,0.2449398636817932,0.9248046875
53,0.2641142010688782,0.9111328125
54,0.2123594880104065,0.93359375
55,0.2526552677154541,0.9169921875
56,0.24300351738929749,0.9248046875
57,0.22865699231624603,0.9228515625
58,0.23709842562675476,0.921875
59,0.24133574962615967,0.9326171875
60,0.2221730798482895,0.9228515625
61,0.2285483181476593,0.93359375
62,0.22554513812065125,0.92578125
63,0.20537717640399933,0.923828125
64,0.25197482109069824,0.9150390625
65,0.22308707237243652,0.9208984375
66,0.20334236323833466,0.921875
67,0.23996423184871674,0.9189453125
68,0.20537340641021729,0.9287109375
69,0.23828312754631042,0.9189453125
70,0.18821705877780914,0.9384765625
71,0.17775532603263855,0.9404296875
72,0.2146373987197876,0.9296875
73,0.19604209065437317,0.939453125
74,0.1871117651462555,0.943359375
75,0.2022729068994522,0.9404296875
76,0.2061973512172699,0.935546875
77,0.20288601517677307,0.93359375
78,0.20044821500778198,0.935546875
79,0.22078868746757507,0.9228515625
80,0.23502743244171143,0.923828125
81,0.23432126641273499,0.9248046875
82,0.19685864448547363,0.93359375
83,0.21117329597473145,0.935546875
84,0.21592071652412415,0.92578125
85,0.17992959916591644,0.943359375
86,0.20022249221801758,0.9375
87,0.20041318237781525,0.9345703125
88,0.2101660966873169,0.9287109375
89,0.16955605149269104,0.939453125
90,0.18762046098709106,0.9375
